,Comments
3698,b'RT @TeslaSawFuture: @Apple @AppleSupport I tried reset password on  account &amp; your system would ask me questions in Spanish! I never have u\xe2\x80\xa6'
3699,b'@AppleSupport It\xe2\x80\x99s already set to Google in Mac https://t.co/GggfmLXtZo'
3700,b'@Apple @AppleSupport  @AppleSupport @AppleMusicJapan  @SamsungMobile  @SamsungMobileUS  @AppleSupport @tim_cook  @SamsungMobile  @SamsungIndia  this is the way apple porvide service to customer it has been one month problem has not been resolved https://t.co/D1jHmfFXrC'
3701,"b""@dustyvision @RogersHelps @PR_NHL @AppleSupport @RogersNHLLive Dispute with your credit card if you can't get it fixed"""
3702,"b'RT @AppleSupport: Complete. Cursor. Control. \n\nYou can touch and hold the Space bar on your iPhone or iPad, and then drag your finger to mo\xe2\x80\xa6'"
3703,b'@AppleSupport why does my keyboard always have the full stop near the space bar? how can i remove it like in this short clip?'
3704,b'Horizontal lines across the screen of my MacBook Pro. Fuuuuuuu*k! @AppleSupport The device is just over 2 years old &amp; you guys already changed the display while under warranty. WTF?!'
3705,"b'RT @AppleSupport: Complete. Cursor. Control. \n\nYou can touch and hold the Space bar on your iPhone or iPad, and then drag your finger to mo\xe2\x80\xa6'"
3706,"b""JESUS FUCKING CHRIST @AppleSupport FOR THE FIFTEENTH TIME\n\nIF I ALREADY HAVE XCODE AND THE COMMAND LINE TOOLS INSTALLED\n\n*AND THEN I UPGRADE THE OS*\n\nIT'S A 100% REALLY SAFE BET I WANT THE XCODE TOOLS INSTALLED AGAIN!\n\nMAYBE THE find(1) COMMAND COULD BE USEFUL DURING UPGRADES IDK"""
3707,"b'.@Apple @AppleSupport @tim_cook Seriously! Where are you getting your weather information from??? Screenshot of the weather app and a photo taken at the same time  in Toronto, Canada earlier today! Haze with 90% chance of snow??? Are you for real? https://t.co/gED41zemwN'"
3708,"b'RT @AppleSupport: Complete. Cursor. Control. \n\nYou can touch and hold the Space bar on your iPhone or iPad, and then drag your finger to mo\xe2\x80\xa6'"
3709,b'Hey @Apple when will you let me schedule send an iMessage @AppleSupport'
3710,"b'RT @AppleSupport: Complete. Cursor. Control. \n\nYou can touch and hold the Space bar on your iPhone or iPad, and then drag your finger to mo\xe2\x80\xa6'"
3711,b'@AppleSupport i did both of those and now i\xe2\x80\x99m gay'
3712,"b'1/2 @AppleSupport - #applewatch HR isn\xe2\x80\x99t registering correctly, need to update software. Not enough storage. Delete EVERY app possible (why are there so many useless apps the user can\xe2\x80\x99t delete?) and THEN I still don\xe2\x80\x99t have space for the update...'"
3713,b'@AppleSupport Uhh can you add a easier way to change app icons cuase I want to customise my iPad and Mac'
3714,b'@cancelschol2021 @AppleSupport I think he\xe2\x80\x99s in a call'
3715,b'... galleria Mall #FortLauderdale Beach #Florida .... @AppleSupport https://t.co/RfQIw8d9qb'
3716,"b'@AppleSupport any reason why I can\xe2\x80\x99t FaceTime someone two miles away while on my own WiFi and they\xe2\x80\x99re on their own WiFi? Seriously, the app is garbage.'"
3717,"b""#imovie users, I have a question. My app keeps crashing when I go to 'share' the video. I updated my laptop earlier this week. Could that be the problem? #apple @AppleSupport"""
3718,b'The fact that a resolution has not been presented in weeks in troubling. The fact that your senior advisors is highest I can escalate issue to.\nThe fact that I trusted iCloud and it has failed me.\nAll this makes for a very bad experience with @AppleSupport'
3719,b'@AppleSupport My 2020 Macbook pro is ha\xe2\x85\xb5ng crash\xe3\x8f\x8cg issues\xef\xbc\x8eI get to the log\xe3\x8f\x8c screen\xef\xbc\x8clog\xe3\x8f\x8c\xef\xbc\x8cand \xe3\x8f\x8cteract with my mac but with\xe3\x8f\x8c the next 5 to 30 seconds everyth\xe3\x8f\x8cg freezes goes black and then entire m\xe3\x8f\x8cd numb\xe3\x8f\x8cg process repeats itself\xef\xbc\x8eI now own a fuck\xe3\x8f\x8cg $2800 paperweight thx'
3720,b'@Apple @AppleSupport \nI have exhausted weeks of calls and messages with your senior advisors without resolution. Your technician have established issue with iCloud. iCloud has erase all@contacts from all devices with no recoverable restore point.'
3721,b'@applesupport how can i oder an iphone 11 Pro max? Thanks'
3722,b'RT @sleepitea: Does anyone know how to contact @AppleSupport if you can\xe2\x80\x99t make phone calls? Live chat support couldn\xe2\x80\x99t help me but I can\xe2\x80\x99t\xe2\x80\xa6'
3723,b'Hello @AppleSupport can we get emojis for people who are not \xf0\x9f\x91\xa9\xf0\x9f\x8f\xbb but also not \xf0\x9f\x91\xa9\xf0\x9f\x8f\xbd? I feel that there\xe2\x80\x99s an in between space we\xe2\x80\x99re missing here'
3724,"b'@AppleSupport I have a better idea to implement this ,'"
3725,b'Every time I\xe2\x80\x99m listening to music on my phone and then I go onto the Amazon app it cuts my music off and then back on and the same when exiting the app. Fix it @AppleSupport'
3726,"b'@TwitterSupport @AppleSupport Has nobody mentioned this before?? Ion my iPhone XR I use the microphone to dictate something into the Twitter search field then try searching it, the text gets erased, same happens if I try to click after the text.'"
3727,b'My iPhone 12 be acting like a little bitch sometimes @AppleSupport'
3728,b'@AppleSupport you might want to check your news app. Keeps crashing - extremely annoying @AppleNews'
3729,"b'RT @AppleSupport: Get your friend\xe2\x80\x99s attention in a group conversation. Mention them.\n\nHere\xe2\x80\x99s how to mention someone in Messages for iPhone,\xe2\x80\xa6'"
3730,b'@AppleSupport my computer will no longer power on. I\xe2\x80\x99ve had the computer less than two months. What can I do?'
3731,"b'RT @AppleSupport: Complete. Cursor. Control. \n\nYou can touch and hold the Space bar on your iPhone or iPad, and then drag your finger to mo\xe2\x80\xa6'"
3732,"b'So where is @Apple\'s suggestion box where I can put ""please implement a seamless workflow between Final Cut Pro X and Apple Motion""\n\nThe ability to do this in @Adobe Premiere Pro and After Effects with their dynamic link makes me green with envy.\n\n@AppleSupport'"
3733,"b'@AppleSupport hey I\xe2\x80\x99ve been constantly getting spam Group FaceTime calls from a bunch of unknown numbers, can you fix that?'"
3734,"b'RT @AppleSupport: Complete. Cursor. Control. \n\nYou can touch and hold the Space bar on your iPhone or iPad, and then drag your finger to mo\xe2\x80\xa6'"
3735,b'@AppleSupport Thank you. This was very helpful.'
3736,b'@AppleSupport About time.'
3737,b'@AppleSupport These characters started showing up under the title in the Remote app on my iPad Pro when playing the film using Apple\xef\xa3\xbf TV. Film is stored on my iMac. Everything is using the latest versions. https://t.co/Iuu3l2mRsE'
3738,b'@applesupport where the ibook g4 released yet'
3739,"b'RT @AppleSupport: Complete. Cursor. Control. \n\nYou can touch and hold the Space bar on your iPhone or iPad, and then drag your finger to mo\xe2\x80\xa6'"
3740,"b""@dananessel @AppleSupport @FBI @GovWhitmer @MIAttyGen @washingtonpost @WashTimes @FoxNews @SenGaryPeters @RepLawrence @FCC @FTC @JoeBiden @SpeakerPelosi @MichStatePolice @MichiganLEO @FBIDetroit @freep @detroitnews @FOX2News @KamalaHarris @Apple @TwitterSupport @briantylercohen @tim_cook @nytimes @AnaKasparian @cenkuygur @TYT @BernieSanders @MISupremeCourt @TomCottonAR @RepRaskin @RepKinzinger He's hacking the Disney App again and keyboard. He tried to block the screenshot then cut the entire Disney process trying to prevent me from getting this but I got it in time. https://t.co/e5TO6r2xpc"""
3741,b'@ThompsonDTyler @AppleSupport My phone has been on 1 percent for 4 hours'
3742,"b'@AppleSupport hello, I\xe2\x80\x99m a bit confused why I only have audio issues (slow, robotic voice) via multiple headsets via Discord only on my MacBook Pro. Same people, same headsets on my Windows laptop on Discord &amp; no issues. Issue occurs via USB-C, via the USB-A to USB-C adapter'"
3743,b'@AppleSupport one of my Apple ID is not getting logged in. Not able to get help for the same from any Apple store or call centre. One iPhone i am not able to use. Please extend an support for the same and guide me where to go and whom to talk. I stay in mumbai.'
3744,b'@AppleSupport I already tried that but it keeps sending to the number i can no longer access'
3745,b'@AppleSupport Noted with thanks.'
3746,b'.@RogersHelps @PR_NHL @AppleSupport spent hours on phone with Rogers and Apple to try and get @RogersNHLLive issues resolved. Doubled charged for same product and they blame each other for the issue... This is my 2nd time tweeting this. No help yet'
3747,b'\xe2\x81\xa6@Apple\xe2\x81\xa9 \xe2\x81\xa6@AppleSupport\xe2\x81\xa9 \xe2\x81\xa6@AppleWalletES\xe2\x81\xa9 please add support for Venmo and PayPal https://t.co/2pZoVgHrUe'
3748,"b'RT @AppleSupport: Complete. Cursor. Control. \n\nYou can touch and hold the Space bar on your iPhone or iPad, and then drag your finger to mo\xe2\x80\xa6'"
3749,b'RT @dustyvision: .@RogersHelps @PR_NHL @AppleSupport spent hours on phone with Rogers and Apple to try and get @RogersNHLLive issues resolv\xe2\x80\xa6'
3750,"b'RT @iOS10Pro: Steve Jobs and Johnny IVE help make the movie WALL-E they help design EVE with the classic Mac White finish, and help create\xe2\x80\xa6'"
3751,"b'@AppleSupport I know it\xe2\x80\x99s off topic sorry, however it\xe2\x80\x99s getting beyond a joke in my view. I won\xe2\x80\x99t mention any names but some notorious apps release updates which claim \xe2\x80\x9cperformance improvements\xe2\x80\x9d but all they update is ad material which isn\xe2\x80\x99t what I\xe2\x80\x99d call an \xe2\x80\x9cimprovement\xe2\x80\x9d'"
3752,"b'RT @AppleSupport: Complete. Cursor. Control. \n\nYou can touch and hold the Space bar on your iPhone or iPad, and then drag your finger to mo\xe2\x80\xa6'"
3753,"b'@Joshua_Pavey @Apple @AppleSupport Seconded, it\xe2\x80\x99s criminal that we can\xe2\x80\x99t!'"
3754,"b'@AppleSupport When I got home today the screen on my new laptop was black. No image would display. Now I get this:\nI\xe2\x80\x99ve restarted and powered down. This only happens when I close the lid, it sleeps, then upon opening the lid, nothing. https://t.co/DJeOQbX92Y'"
3755,b'@AppleSupport yo apple my phone screen is cracked now.. i want a new one.'
3756,b'@dananessel @AppleSupport @FBI @GovWhitmer @MIAttyGen @washingtonpost @WashTimes @FoxNews @SenGaryPeters @RepLawrence @FCC @FTC @JoeBiden @SpeakerPelosi @MichStatePolice @MichiganLEO @FBIDetroit @freep @detroitnews @FOX2News @KamalaHarris @Apple @TwitterSupport @briantylercohen @tim_cook @nytimes @AnaKasparian @cenkuygur @TYT @BernieSanders @MISupremeCourt @TomCottonAR @RepRaskin @RepKinzinger Just like how hacker was cutting safari process he ended the map process to make it disappear https://t.co/hFEZI0sdKT'
3757,"b'RT @AppleSupport: Complete. Cursor. Control. \n\nYou can touch and hold the Space bar on your iPhone or iPad, and then drag your finger to mo\xe2\x80\xa6'"
3758,b'@AppleSupport Are you able to moderate App Store app updates? Some app developers just release far to many updates in such a short space of time and many don\xe2\x80\x99t even tell you what the \xe2\x80\x9cimprovements\xe2\x80\x9d are. Surely as users we have a right to know what we are installing? (Just curious) thanks.'
3759,"b""@apple @AppleSupport My iPad (6th gen iPad OS 14.4) keeps freezing all the time. Analytics says bug code 115 (wdog). I have tried resetting and restoring. Nothing helps. Only way out is to plug it back to charge and it turns on after a few minutes. It's unusable and frustrating."""
3760,b'@AppleSupport Got it.\nI knew. https://t.co/Zf1wF0qttb'
3761,"b'@AppleSupport\n help please, urgent'"
3762,"b'@Apple\n @AppleSupport\n Hey I am developer from Australia, and am trying to return the DTK. I tried many time to call the carrier number (getting from email) but no one answer. Is there any other way to return the DTK thanks.'"
3763,b'@AppleSupport Good morning! I just want to ask why my Iphone 12 pro the battery will easily low batt? I\xe2\x80\x99ll charge to 100% after i took the outlet after 30 minutes it\xe2\x80\x99s already 80%. I didn\xe2\x80\x99t use the phone.'
3764,b'@AppleSupport You really should rename your account Apple Tips as you do not offer any support'
3765,b'@AppleSupport I accidentally cracked my iPad. Is there any way to fix it in a day?'
3766,b'@Apple @AppleSupport @iTunes @AppleTV why can\xe2\x80\x99t I purchase \xe2\x80\x9cBlood In Blood Out\xe2\x80\x9d or even rent it to watch?'
3767,b'RT @dontwanna81: @AppleSupport you might want@to check your news app. Keeps crashing - extremely annoying @Apple'
3768,"b'RT @AppleSupport: Complete. Cursor. Control. \n\nYou can touch and hold the Space bar on your iPhone or iPad, and then drag your finger to mo\xe2\x80\xa6'"
3769,"b'RT @AppleSupport: Complete. Cursor. Control. \n\nYou can touch and hold the Space bar on your iPhone or iPad, and then drag your finger to mo\xe2\x80\xa6'"
3770,b'@AppleSupport would I be able to make a trade in-in store? To purchase at Mac?'
3771,b'@resident_hippie @AppleSupport @woot Good luck!'
3772,b'Hey @AppleSupport and @YouTube way to mess with parents around the world and having the app deactivated on 3rd generation Apple TV\xe2\x80\x99s.   What the fuck'
3773,"b'Had issues with the adapter port , the backlight on the keyboard didn\xe2\x80\x99t work, and the worst of all the Motherboard crashed,  had a history of bad or rather worst experience one after the other tht you wouldn\xe2\x80\x99t  expect from a brand new device! @Apple @AppleSupport'"
3774,"b""Can the next Apple Watch PLEASE have at least two-day battery life?? Make the watch bigger or taller if you need to. Won't bother me at all, but needing to charge it daily does.\n@AppleSupport \n\ncc @reneritchie @MKBHD @saradietschy @iMore"""
3775,"b'I bought a MacBook Pro 16 inches\xe2\x80\x9919 model, the damn latest one with the Touch Bar from @ImagineApplePR in the month of July\xe2\x80\x9920. Really really disappointed with the service and the kind of response when I took it to the store for a service @Apple @AppleSupport'"
3776,b'@AppleSupport why my iPhone doesn\xe2\x80\x99t have 3D Touch? I wanted to put a 3D Wallpaper on my Lock Screen'
3777,"b'RT @AppleSupport: Complete. Cursor. Control. \n\nYou can touch and hold the Space bar on your iPhone or iPad, and then drag your finger to mo\xe2\x80\xa6'"
3778,b'@AppleSupport Cool. So that\xe2\x80\x99s a fix customers can carry out to get back the arrangement of their home screens before you unnecessarily destroyed them with the App Library \xe2\x80\x98innovation\xe2\x80\x99 that nobody actually wanted?'
3779,b'Ik yall saw this @AppleSupport @Apple https://t.co/xHk00C3uBq'
3780,"b'@AppleSupport Translate is not working on my iPhone XR, message \xe2\x80\x98Translate unavailable. Translate is unavailable at the moment. Please try at another time\xe2\x80\x9d. But it never works. Reason? Fix?'"
3781,b'Anyone having issues w their 1st Gen IPods ? Mine won\xe2\x80\x99t stay charged !!! @AppleSupport'
3782,b'@CunninghamC16 @AppleSupport You\xe2\x80\x99re supposed to pay like $69 a month to Apple to store everything on the cloud even though you probably don\xe2\x80\x99t buy the smallest hard drive version. That\xe2\x80\x99s why every software update takes up 10 GB. Wires are already extinct also didn\xe2\x80\x99t you hear'
3783,"b'RT @AppleSupport: Complete. Cursor. Control. \n\nYou can touch and hold the Space bar on your iPhone or iPad, and then drag your finger to mo\xe2\x80\xa6'"
3784,"b'Transferring photos/videos from iPhone to PC is infinitely more difficult than it should be. ""Device is unreachable"" is ridiculous. How are we going on 3+ years now of me unplugging/replugging my phone in and crossing my fingers that it works this time @AppleSupport'"
3785,"b""@AppleSupport What happens if I no longer wish to ever update #iOS past version 14.4? I'm happy with my #iPhone11ProMax and there is no #software or #hardware functionality I will ever need beyond what I already have to live my life as a #human. @Apple #System #tech #progress"""
3786,b'I need help! @tim_cook @AppleSupport'
3787,b'So how many tweets do I gotta send in order to get the issue addressed? \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f @tim_cook @AppleSupport Is there a separate apple support for #Dubai ?'
3788,b'@emilyegg1 @AppleSupport Hey Emily I just wanna know if they returned the money ?'
3789,b'So how many tweets do I gotta send in order to get the issue addressed? \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f @tim_cook @AppleSupport'
3790,b'So how many tweets do I gotta send in order to get the issue addressed? \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f @tim_cook @AppleSupport'
3791,b'So how many tweets do I gotta send in order to get the issue addressed? \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f @tim_cook @AppleSupport'
3792,b'@AppleSupport What\xe2\x80\x99s the newest iPad Pro./aunt is there a new iPad Pro coming out'
3793,b'@AppleSupport Are you gonna respond to my issue? \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f@tim_cook @AppleSupport'
3794,"b""@dananessel @AppleSupport @FBI @GovWhitmer @MIAttyGen @washingtonpost @WashTimes @FoxNews @SenGaryPeters @RepLawrence @FCC @FTC @JoeBiden @SpeakerPelosi @MichStatePolice @MichiganLEO @FBIDetroit @freep @detroitnews @FOX2News @KamalaHarris @Apple @TwitterSupport @briantylercohen @tim_cook @nytimes @AnaKasparian @cenkuygur @TYT @BernieSanders @MISupremeCourt @TomCottonAR @RepRaskin @RepKinzinger But he's a simple-minded fool so I anticipated he's do that and even as he must have been hacking the first recording I had already started a second https://t.co/TdKaxjU9Yx"""
3795,b'@AppleSupport Already done. I have both the main Apple number and your referenced support number added. Still gets kicked to VM. See image. https://t.co/GTExsg91AJ'
3796,b'@AppleSupport Great. Thank you'
3797,"b'@eclipsemagazine @Apple @AppleSupport I haven\xe2\x80\x99t even tried on my pc since I started using better apps. it\xe2\x80\x99s so easy I think. I got Luma Fusion, it\xe2\x80\x99s fairly expensive (for an app I think it was $20?) but it does overlays and multiple tracks for sound and video which is all I really use for interviews.'"
3798,b'@LachuSuperStar @Apple @AppleSupport What did you do then?'
3799,b'@piyush1295 @AppleSupport @AutoCAD @autodesk @AutodeskRevit Pls tell me if you find out'
3800,b'@dananessel @AppleSupport @FBI @GovWhitmer @MIAttyGen @washingtonpost @WashTimes @FoxNews @SenGaryPeters @RepLawrence @FCC @FTC @JoeBiden @SpeakerPelosi @MichStatePolice @MichiganLEO @FBIDetroit @freep @detroitnews @FOX2News @KamalaHarris @Apple @TwitterSupport @briantylercohen @tim_cook @nytimes @AnaKasparian @cenkuygur @TYT @BernieSanders @MISupremeCourt @TomCottonAR @RepRaskin @RepKinzinger I know hacker has hacked voice commands multiple times despite mine not even being set up so I decided to close out some settings and to try to get me to leave the screen he started up the Disney App on tbf background then caused an error on the first recordings... https://t.co/LvFcgyYUgR'
3801,"b""@scifivision @Apple @AppleSupport I've never edited on my iPhone or iLad. That would drive me nuts. I need a realy computer woth mouse and keyboard"""
3802,b'@Atekoja_zayyad @AppleSupport I have the regulars and they tell me to just get new ones every single time i talk to them.'
3803,"b""@dananessel @AppleSupport @FBI @GovWhitmer @MIAttyGen @washingtonpost @WashTimes @FoxNews @SenGaryPeters @RepLawrence @FCC @FTC @JoeBiden @SpeakerPelosi @MichStatePolice @MichiganLEO @FBIDetroit @freep @detroitnews @FOX2News @KamalaHarris @Apple @TwitterSupport @briantylercohen @tim_cook @nytimes @AnaKasparian @cenkuygur @TYT @BernieSanders @MISupremeCourt @TomCottonAR @RepRaskin @RepKinzinger It's why there will be display mismatches like where the camera counter is https://t.co/UpfAP3zmQ4"""
3804,"b'@dananessel @AppleSupport @FBI @GovWhitmer @MIAttyGen @washingtonpost @WashTimes @FoxNews @SenGaryPeters @RepLawrence @FCC @FTC @JoeBiden @SpeakerPelosi @MichStatePolice @MichiganLEO @FBIDetroit @freep @detroitnews @FOX2News @KamalaHarris @Apple @TwitterSupport @briantylercohen @tim_cook @nytimes @AnaKasparian @cenkuygur @TYT @BernieSanders @MISupremeCourt @TomCottonAR @RepRaskin @RepKinzinger Hacker repeatedly hacking Disney app. Freezing the video or the cellular, restarting thr cellular, freezing the play button, and the entire phone is re-routed which is why not just the app but the entire screen record came back horizontal https://t.co/0rPE8Gqsqt'"
3805,b'@eclipsemagazine @Apple @AppleSupport I\xe2\x80\x99ve always had PCs but not sure on a Mac you could change the photo app It\xe2\x80\x99s just annoying because some photos look the same unless you look full screen and I have so many edited video interviews and they all start with a black screen. I\xe2\x80\x99m constantly tapping to get the right one'
3806,b'How do I get rid of the mildew smell form usb c cable for my brand new MacBook Pro? @Apple @AppleSupport'
3807,b'Y\xe2\x80\x99all charged me for cbs all access on 3/2 then for paramount+ on 3/4 one of y\xe2\x80\x99all better fix this shit @paramountplus @AppleSupport @askparamount'
3808,b'@londonkisss Pros or regular ? I\xe2\x80\x99m pretty sure if you @applesupport they got you.'
3809,b'getting tired of being on hold @AppleSupport'
3810,b'@AppleSupport please change your hold music'
3811,b'@AppleSupport Guys : we\xe2\x80\x99ve had an Apple MacBook Pro shutdown after a Big Sur \xe2\x80\x98upgrade\xe2\x80\x99 leading to machine crash and 2-years of research data lost: now iPhone permanently on \xe2\x80\x98Searching\xe2\x80\x99 of network : tried Apple Support: whole phone crashed : bad luck??'
3812,"b""@Yamodo @MTA @NYGovCuomo @TheHarborRing No, iPhone autocorrect, it's spelled with two Zs\n\n@AppleSupport https://t.co/L3mn2HO3gS"""
3813,b'@applesupport is a nightmare holy shiiiii'
3814,b'RT @fred_royster: so \n@Apple\n \n@AppleSupport\n another #bigsur update and still the #ical notifications snooze problem is not fixed. #fixit\xe2\x80\xa6'
3815,b'@Apple @AppleSupport  take notes on what to do when customers are not happy with a product they paid for to the point they would tweet about it and tag you. https://t.co/PrT6idAbbn'
3816,b'@AppleSupport dumbest thing i ever bought ..... apple watch \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
3817,"b'Hey @AppleSupport , it would be really smart if your support calls would not get sent to my voicemail when my \xe2\x80\x9cSilence Unknown Callers\xe2\x80\x9d is active. Design oversight??'"
3818,b'Does anyone know how to get rid of the nasty mildew smell on MacBook Pro usb c cables? Manager at local Apple store claims this is a feature not a bug and says it should go away in a few weeks. Is this true? @Apple @AppleSupport'
3819,"b""i honestly think me and @apple @AppleSupport are done brand new iphone it's been in the case since i received it in september 2020 never dropped it never damaged it in water or anything and the phone died today when i was out i came out charged it and now it just keeps restarting"""
3820,b'@parajon82 @AppleSupport Odd! Unless I\xe2\x80\x99ve just not noticed \xf0\x9f\x98\x82'
3821,b'.... yayyyyyy thank you Al @ Galertia @AppleSupport @Apple  we found why @instagram  was not working it was odd no surprise so IG PLEASE SEND A POST TILL U SEE ME &amp; always .... TEST YAYYYY https://t.co/zA0vIvsWyX'
3822,b'@robhinds @AppleSupport Few days for me!'
3823,b'@parajon82 @AppleSupport Has it literally only just happened second half of today?'
3824,b'@robhinds Same here! @AppleSupport'
3825,"b'RT @AppleSupport: Complete. Cursor. Control. \n\nYou can touch and hold the Space bar on your iPhone or iPad, and then drag your finger to mo\xe2\x80\xa6'"
3826,b'@AppleSupport Yes it shut down and as I mentioned before when i turn the power on it shows the apple logo and when the installation process is finished it freezes again'
3827,b'@AppleSupport I just got a question so I bought my iPhone today at the Apple store but I forgot to ask representative a question is there a way to add AppleCare on my iPhone in the future..?'
3828,b'@AppleSupport reply to everyone except me? I\xe2\x80\x99ve owned EVERY single IPhone except the 8 and this whole deal has me at Verizon looking at androids today. Apple customer service has honestly sucked this whole time so I figured I\xe2\x80\x99d try Twitter'
3829,"b'Me: my AirPods Max are regularly refusing to connect to my Macs/phone without a factory reset\n@AppleSupport: that\xe2\x80\x99s not right. Ship it to us!\nMe: okay\n@AppleSupport: nothing wrong with them. Have them back\n\nIf you thought it was bad enough to send back, replace them at least!'"
3830,"b'@AppleSupport my AirPods cannot connect to my 2020 MacBook Pro no matter how many times I reset and everything is up to date, please help'"
3831,"b'@AppleSupport Hi, can\xe2\x80\x99t attach photos in mail? As you click the mail button to select how you want to send pic. A new mail pops up and then drops right back down again. Very odd. Done a network reset, a full reset, and deleted mail account and re-added etc. Only in Mail app? TU'"
3832,"b'@AppleSupport Buy an IPhone 12 no charger. Buy a charger, what do you know. No wall mount. Put a damn box in with your sh1t ya cheap fvcks UGHHHH https://t.co/FQzphGPhye'"
3833,"b""@AppleSupport hello I need to solve a problem with my apple tv+ subscription  but your terrible support team for Latin America doesn't take request and you don't have an email where I can place my claim"""
3834,b'@kevinbparry Nope that\xe2\x80\x99s right. Hmmmm... I\xe2\x80\x99ll let you know if I think of anything else. @AppleSupport should jump in!'
3835,b'@AppleSupport why is the front camera smoothening out my face and over contrasting i don\xe2\x80\x99t want that \xf0\x9f\x99\x82'
3836,b'Who the fuck designed the UI for #OSX??? @tim_cook @AppleSupport @Apple I remember reading stories about Jobs freaking out about minutely different fonts and your new UI is straight impossible to read. talk about a steep decline in #quality. should I click the white button? https://t.co/KGnUFXNCks'
3837,b'@AppleSupport Can you help me?'
3838,"b'RT @jesgarrigan: Check out the new Apple for Kids support page to explore how to manage family sharing, set up your child\xe2\x80\x99s device, and kee\xe2\x80\xa6'"
3839,"b'Yo @AppleSupport I\xe2\x80\x99ve been back and forth with AppleCare and my business rep at Apple since Oct 29, two days after I bought a faulty desktop from y\xe2\x80\x99all and still can\xe2\x80\x99t get a replacement. It\xe2\x80\x99s been 4 months and this is basically single handed-ly ruining my ability to make a living'"
3840,b'Why is Messages always indexing \xe2\x81\xa6@AppleSupport\xe2\x81\xa9? https://t.co/RWURF1dTEG'
3841,"b'RT @AppleSupport: Complete. Cursor. Control. \n\nYou can touch and hold the Space bar on your iPhone or iPad, and then drag your finger to mo\xe2\x80\xa6'"
3842,b'@AppleSupport I know we broke up because you ghosted me but-\n\nTech made a little headway w/ getting back on icloud w/ laptop the other day based on ME pointing out it was string error involving my last name \n\nIt\xe2\x80\x99s been 2 days since &amp; no one has called re my cloudless phone. \nHelp'
3843,b'@AppleSupport Not sure this helps and how to go about it'
3844,b'@AppleSupport do you know why this would be happening?'
3845,b'The frustration of working with 3 different devices and the airpod switching by itself \xf0\x9f\x98\xa9. \n\nAllow me switch by myself abeg or at least notify me small \xf0\x9f\x98\x92. @AppleSupport'
3846,b'@AppleSupport I changed my name on my Apple ID but my old name keeps appearing places. This would be very terrible for someone with a dead name.'
3847,b'@janesmith500 @AppleSupport I\xe2\x80\x99m good mate'
3848,"b'Anyone dealt with @AppleSupport lately? I have several times recently on different things and appalled by how slow and ineffective it is. Seriously, worse than calling your cable company. As a major @Apple fan, I am stunned. The smallest of things have taken over an hour to fix.'"
3849,"b'Dear @AppleSupport, e be like say dem thief my Macbook too\xf0\x9f\x98\x94 https://t.co/rKSi9TFEfi'"
3850,b'RT @AppleSupport: Nothing helps get your workout started like your favorite playlist. \xf0\x9f\x92\xaa\n\nHere\xe2\x80\x99s how to set a playlist to start automaticall\xe2\x80\xa6'
3851,b'@scifivision @Apple @AppleSupport Returned my new Macbook Air. I LOATHE big sure its as bad as Windows Vista used to be. I think my next laptop is Windows for the first time in 12 yrs'
3852,"b'Currently stuck in a 14-day bout with @Apple, trying to weave my way through their convoluted maze of non-sensical titles and leadership charts all to get some lost iMessages back, which were backed up several times yet to no avail. @AppleSupport is absolutely worthless'"
3853,"b'RT @AppleSupport: Complete. Cursor. Control. \n\nYou can touch and hold the Space bar on your iPhone or iPad, and then drag your finger to mo\xe2\x80\xa6'"
3854,"b""hi @AppleSupport just confirming you said you'd review my case once this vid gets 100 likes?"""
3855,b'@ipgmail @AppleSupport That was already possible back in 2015 with 3D Touch (and honestly much more powerful especially for selection)'
3856,b'@gailishi @AppleSupport Ok I\xe2\x80\x99ll give it a try. Thanks!'
3857,"b'RT @AppleSupport: Complete. Cursor. Control. \n\nYou can touch and hold the Space bar on your iPhone or iPad, and then drag your finger to mo\xe2\x80\xa6'"
3858,b'@whittneywrites @AppleSupport Try restarting your phone. The contacts are in the cloud.'
3859,b'@AppleSupport All chargers work and yes it does show the charging symbol'
3860,"b'I lost some of my contacts from one of these iOS updates \xf0\x9f\xa4\xac\xf0\x9f\xa4\xac\xf0\x9f\xa4\xac. How do I fix it, @AppleSupport ???'"
3861,b'@TheAJMendez Hey @AppleSupport @Apple &amp; ESPECIALLY @tim_cook !!! DO Take note of this!.\n\n&amp; FIX IT!!!.'
3862,"b'RT @AppleSupport: Complete. Cursor. Control. \n\nYou can touch and hold the Space bar on your iPhone or iPad, and then drag your finger to mo\xe2\x80\xa6'"
3863,b'hi @applesupport blings!'
